"","Trust_politicians","vote","happy","gender","house_income"
"631",6,"Yes",7,"Female",9
"632",2,"Yes",8,"Male",NA
"633",6,"Not eligible to vote",5,"Male",2
"634",6,"Yes",7,"Male",5
"635",7,"Yes",7,"Male",NA
"636",7,"Yes",10,"Male",6
"637",7,"Yes",10,"Male",5
"638",2,"Yes",3,"Male",1
"639",5,"Yes",7,"Female",5
"640",7,"Not eligible to vote",8,"Female",10
"641",7,"Yes",8,"Male",6
"642",5,"Yes",7,"Male",6
"643",8,"Not eligible to vote",10,"Male",10
"644",8,"Yes",9,"Male",3
"645",7,"No",5,"Male",5
"646",3,"Yes",9,"Female",5
"647",4,"Yes",7,"Female",8
"648",8,"No",10,"Male",NA
"649",NA,"No",9,"Female",NA
"650",7,"Yes",8,"Female",8
"651",5,"Yes",9,"Male",2
"652",7,"Not eligible to vote",5,"Female",4
"653",4,"Yes",9,"Male",7
"654",7,"No",7,"Male",NA
"655",3,"Yes",7,"Male",7
"656",6,"Yes",9,"Female",2
"657",4,"Yes",10,"Female",9
"658",3,"Yes",6,"Female",10
"659",6,"Yes",9,"Male",7
"660",7,"No",6,"Male",5
"661",5,"Yes",7,"Female",10
"662",5,"Yes",8,"Female",1
"663",6,"Yes",6,"Male",8
"664",6,"Yes",9,"Female",6
"665",0,"No",6,"Female",1
"666",4,"Yes",10,"Female",1
"667",8,"Yes",7,"Male",10
"668",0,"Yes",8,"Male",7
"669",9,"Yes",9,"Female",4
"670",5,"Yes",9,"Male",6
"671",4,"Yes",7,"Male",7
"672",8,"Yes",7,"Female",10
"673",6,"Yes",8,"Male",1
"674",5,"Yes",8,"Female",7
"675",8,"Yes",10,"Male",1
"676",7,"Yes",9,"Female",NA
"677",8,"Yes",9,"Male",10
"678",7,"Yes",8,"Female",10
"679",6,"Yes",9,"Male",10
"680",5,"Yes",6,"Male",6
"681",2,"Yes",8,"Male",10
"682",8,"Yes",10,"Female",9
"683",5,"Yes",8,"Male",8
"684",5,"Yes",9,"Female",4
"685",5,"Not eligible to vote",10,"Female",7
"686",5,"Yes",7,"Female",1
"687",6,"Yes",10,"Male",3
"688",5,"Yes",7,"Female",7
"689",6,"Not eligible to vote",8,"Male",7
"690",7,"Yes",7,"Female",10
"691",4,"Yes",3,"Female",NA
"692",6,"No",8,"Male",5
"693",7,"No",7,"Female",2
"694",7,"Yes",9,"Female",4
"695",6,"Yes",8,"Female",8
"696",7,"Yes",8,"Female",5
"697",2,"Yes",7,"Female",6
"698",5,"Yes",9,"Male",4
"699",6,"Yes",8,"Female",1
"700",8,"Yes",9,"Female",6
"701",6,"Yes",7,"Female",8
"702",4,"Yes",7,"Male",10
"703",10,"Yes",9,"Male",10
"704",5,"Yes",1,"Female",4
"705",4,"No",7,"Male",6
"706",5,"No",9,"Female",1
"707",2,"Yes",10,"Female",2
"708",0,"Yes",10,"Male",NA
"709",7,"Yes",8,"Female",4
"710",7,"Yes",9,"Female",5
"711",7,"Yes",7,"Female",4
"712",9,"Yes",9,"Male",9
"713",4,"Yes",10,"Male",8
"714",5,"Yes",7,"Male",6
"715",7,"Yes",7,"Male",7
"716",6,"Yes",10,"Male",8
"717",3,"Yes",9,"Female",6
"718",3,"Yes",8,"Female",9
"719",6,"Yes",8,"Male",4
"720",7,"Yes",9,"Male",4
"721",4,"Yes",9,"Male",10
"722",1,"Yes",7,"Male",4
"723",5,"Yes",8,"Female",2
"724",5,"Yes",9,"Male",3
"725",5,"Yes",8,"Male",2
"726",6,"Not eligible to vote",7,"Female",8
"727",4,"Yes",7,"Male",7
"728",3,"Yes",9,"Male",5
"729",3,"Yes",10,"Male",8
"730",5,"Yes",8,"Female",4
"731",5,"Yes",10,"Male",2
"732",5,"Yes",8,"Female",NA
"733",7,"Yes",8,"Male",7
"734",7,"Yes",6,"Male",6
"735",5,"Yes",4,"Female",5
"736",2,"No",5,"Male",4
"737",7,"Yes",9,"Female",9
"738",5,"Yes",9,"Male",9
"739",8,"Yes",9,"Female",4
"740",5,"Yes",9,"Female",3
"741",3,"Yes",8,"Male",2
"742",5,"Yes",9,"Female",1
"743",7,"Yes",4,"Female",4
"744",5,"Yes",8,"Male",2
"745",2,"Not eligible to vote",9,"Male",3
"746",5,"Yes",9,"Female",8
"747",3,"Yes",8,"Male",2
"748",5,"Yes",7,"Female",1
"749",3,"Yes",10,"Female",9
"750",3,"No",9,"Male",8
"751",3,"Yes",8,"Female",4
"752",7,"Yes",7,"Male",6
"753",1,"Yes",9,"Female",1
"754",3,"Yes",10,"Male",7
"755",6,"Yes",8,"Female",5
