"id","kjonn","alder","okonomi","polskala","abort"
1075,1,29,2,6,NA
1076,1,17,2,1,4
1077,0,20,3,2,5
1078,1,38,3,1,5
1080,1,21,3,2,4
1087,1,34,1,1,3
1090,1,36,2,1,4
1091,0,38,2,1,2
1098,0,44,3,2,5
1100,1,35,3,1,4
1102,0,16,2,1,4
1103,1,40,2,2,5
1105,0,18,3,1,5
1106,1,45,2,1,5
1109,1,19,3,2,4
1110,0,17,2,1,5
1113,0,58,2,1,2
1115,1,31,3,1,5
1118,0,66,2,3,NA
1119,1,70,2,3,4
1120,0,47,2,2,3
1122,0,25,3,1,3
1123,1,47,1,5,2
1124,1,18,2,1,3
1127,1,61,2,1,4
1129,1,42,2,2,5
1133,0,18,2,2,4
1134,1,48,1,6,4
1135,1,79,2,3,3
1137,1,34,1,2,4
1138,1,21,2,2,3
1139,1,40,3,1,2
1140,0,71,2,2,1
1145,0,16,2,2,5
1147,1,54,2,3,4
1148,1,45,2,1,4
1149,1,20,3,2,4
1150,0,56,2,2,4
1152,0,62,2,1,4
1154,0,18,3,1,5
1155,1,25,2,1,5
1156,1,41,2,1,5
1157,1,20,3,2,2
1161,1,26,3,2,2
1163,1,26,2,1,4
1164,1,19,NA,2,4
1166,0,38,2,1,2
1171,0,17,2,1,4
1172,1,28,2,1,2
1173,1,29,3,2,4
1174,0,16,2,2,4
1175,1,22,2,1,1
1176,1,19,2,1,5
1177,1,33,3,1,4
1178,1,48,2,1,4
1180,1,19,2,2,3
1181,1,47,1,2,4
1182,1,52,3,2,1
1184,1,42,3,1,5
1185,1,29,3,2,5
1186,1,56,1,2,4
1191,0,39,2,2,4
1192,0,45,2,1,4
1193,1,57,NA,2,4
1194,0,18,2,2,3
1195,0,27,2,1,1
1202,1,68,3,2,4
1204,1,41,1,2,2
1206,0,17,2,1,4
1209,1,44,3,1,4
1212,1,26,2,1,1
1216,1,34,2,2,NA
1217,1,33,2,1,4
1220,0,24,3,1,NA
1221,1,20,3,2,3
1222,1,62,1,2,4
1223,1,29,3,1,5
1224,0,51,2,3,NA
1226,1,37,2,2,4
1227,1,49,2,1,5
1229,1,47,2,2,4
1231,1,45,1,1,4
1232,1,30,3,1,NA
1238,1,28,3,2,4
1240,1,34,1,2,1
1242,1,62,3,2,4
1243,1,34,2,1,5
1244,1,68,2,3,4
1245,1,44,1,5,2
1247,1,36,3,2,4
1255,1,22,3,1,5
1256,1,57,3,2,2
1260,1,20,NA,1,3
1261,0,17,NA,1,3
1268,1,21,2,2,3
1269,1,25,2,2,3
1270,0,64,3,2,1
1271,0,53,3,3,NA
1272,0,23,1,1,5
1274,1,26,2,2,4
1276,1,46,2,2,4
1278,1,43,2,2,4
1279,1,67,2,2,3
1280,1,57,3,3,NA
1281,1,21,2,1,4
1285,1,35,3,1,3
1288,1,44,1,2,3
1289,0,79,2,3,4
1291,1,26,2,2,4
1293,1,59,3,2,5
1294,0,50,3,2,4
1296,1,68,3,3,2
1299,1,23,2,2,4
1301,1,19,2,2,4
1302,1,45,2,5,1
1303,1,19,2,1,4
1306,1,43,3,3,5
1308,1,34,2,1,3
1309,1,24,1,2,5
1312,1,24,3,1,5
1313,1,63,2,1,5
1315,0,24,3,1,4
1316,1,33,1,1,4
1317,1,24,3,2,3
1318,1,49,2,2,3
1319,1,49,2,1,4
1320,1,34,2,1,2
1321,1,48,3,2,4
1323,1,22,2,2,4
1325,1,32,2,6,4
1327,0,57,2,2,4
1328,1,28,3,1,5
1330,1,41,2,2,3
1331,1,54,2,2,3
1332,1,64,2,1,5
1333,1,67,2,3,2
1334,0,34,2,3,2
1336,0,73,2,2,4
1337,1,62,2,3,2
1338,1,32,1,4,1
1339,1,30,2,2,NA
1340,1,25,2,3,2
1344,1,21,2,6,1
1345,0,69,2,3,5
1346,1,72,2,4,1
1347,0,16,2,3,NA
1348,1,35,3,1,4
1349,1,20,2,1,3
1352,1,49,1,5,1
1353,0,65,1,4,1
1354,1,22,2,1,4
1356,0,70,2,3,4
1357,1,27,2,1,4
1358,1,40,2,1,5
1359,1,56,2,1,4
1360,1,29,2,1,2
1362,1,64,3,1,1
1364,1,24,2,1,3
1366,1,29,2,2,4
1368,1,54,3,6,1
1369,0,67,2,2,5
1371,1,68,2,2,4
1374,1,67,2,2,2
1376,0,62,2,2,3
1378,0,60,2,1,2
1379,1,50,2,2,3
1380,1,18,2,2,4
1383,1,61,2,6,1
1385,1,26,2,2,5
1386,1,42,2,2,5
1389,1,26,2,1,4
1392,0,62,2,1,4
1393,1,47,2,2,3
1395,1,71,2,1,2
1397,1,45,3,2,4
1399,0,54,2,6,2
1400,1,48,3,1,4
1402,1,23,1,2,4
1404,1,49,2,2,5
1405,1,50,3,2,2
1407,1,32,2,2,2
1409,1,72,3,2,4
1410,1,67,2,1,4
1411,1,29,1,2,3
1413,1,74,3,2,4
1414,0,17,3,2,2
1415,1,19,3,2,5
1416,1,22,NA,5,1
1417,1,61,2,2,NA
1418,0,76,3,1,NA
1419,0,41,2,2,3
1420,0,72,3,2,4
1421,1,20,NA,1,5
1422,1,49,1,2,5
1423,1,68,2,2,4
1424,1,57,3,1,4
1426,0,41,2,3,4
1429,1,45,3,2,5
1430,1,35,3,3,2
1432,1,59,3,2,4
1433,0,17,2,1,NA
1434,0,21,2,1,4
1435,1,50,3,2,4
1438,0,60,2,2,4
1439,1,71,2,1,4
1441,1,42,2,2,3
1442,1,70,2,2,3
1443,0,75,2,2,4
1444,1,42,2,1,3
1445,1,44,2,3,2
1446,0,58,2,2,2
1447,1,57,2,2,3
1449,1,35,3,3,5
1452,0,76,1,3,1
1454,1,19,3,2,5
1455,0,71,2,3,4
1456,1,50,2,1,4
1457,1,36,2,2,5
1460,0,18,2,2,2
1461,1,35,2,1,4
1462,1,42,2,1,4
1463,1,34,3,3,4
1466,0,39,2,1,3
1467,1,20,3,1,5
1468,0,71,2,1,4
1471,1,25,2,2,4
1473,1,21,NA,2,5
1474,1,30,2,2,4
1475,1,75,3,2,2
1476,1,49,2,2,5
1480,1,53,2,1,3
1482,1,52,2,2,2
1486,0,71,2,3,3
1487,1,31,2,2,3
1489,1,49,2,2,2
1491,1,19,2,2,2
1492,1,16,2,1,4
1494,1,27,2,2,5
1497,1,67,2,3,1
1498,0,16,2,1,4
1499,1,25,2,2,2
1501,1,38,1,1,4
1502,0,16,3,1,5
1504,1,18,2,1,1
1505,0,31,1,2,2
1506,0,56,2,3,NA
1509,0,75,3,6,5
1510,0,46,3,5,2
1512,1,47,1,1,5
1514,0,73,2,2,3
1516,1,32,3,2,5
1517,1,32,2,1,5
1519,1,47,2,3,4
1522,1,51,3,2,4
1523,0,54,2,4,4
1524,1,51,2,1,4
1526,0,17,2,2,4
1527,1,43,3,2,2
1528,0,18,3,2,4
1529,1,44,2,1,4
1530,0,43,2,1,1
1531,0,53,2,2,2
1532,1,55,3,2,4
1533,1,41,2,3,5
1536,1,53,2,2,4
1538,1,45,2,1,4
1539,1,47,2,2,3
1540,1,50,2,3,2
1542,1,30,2,1,5
1543,1,18,2,2,4
1544,0,19,2,2,5
1545,1,53,2,2,2
1546,1,26,2,1,2
1548,1,37,2,2,1
1551,1,58,3,2,4
1552,1,41,1,6,1
1555,1,26,1,3,1
1556,1,32,2,1,5
1558,1,38,2,1,5
1560,1,25,NA,1,4
1561,1,22,2,2,5
1562,1,18,2,2,4
1564,1,52,3,1,4
1567,1,59,3,2,2
1568,0,71,3,2,NA
1571,1,20,2,1,5
1573,0,24,3,1,3
1574,0,49,2,2,1
1575,0,17,2,2,2
1576,1,44,3,1,5
1577,1,30,1,1,4
1578,1,33,2,2,2
1579,1,37,2,2,4
1580,1,34,3,1,5
1584,0,43,2,3,2
1586,0,30,2,1,1
1588,0,37,1,2,5
1589,1,27,2,1,4
1591,1,43,2,2,4
1592,1,19,2,1,4
1593,1,67,3,1,4
1594,1,50,3,2,3
1596,0,43,2,2,5
1598,1,48,2,2,3
1599,1,33,2,1,5
1601,1,41,1,2,4
1603,1,60,3,2,4
1604,1,57,3,5,2
1609,0,36,3,6,1
1610,0,70,2,3,4
1612,1,32,2,1,1
1613,1,22,1,1,2
1616,1,33,2,2,4
1620,1,33,2,2,1
1622,0,16,2,2,4
1623,0,61,3,2,4
1624,1,26,3,1,3
1627,1,68,2,1,4
1630,1,24,2,1,4
1631,1,20,2,3,4
1632,1,52,3,1,4
1634,1,29,3,2,2
1636,0,49,2,1,4
1637,0,35,2,4,3
1638,1,25,2,2,3
1639,1,45,2,2,3
1641,1,25,2,2,4
1642,0,49,3,2,1
1643,1,21,1,2,4
1645,1,33,2,2,2
1647,1,49,2,5,1
